Name,CPU_Usage,Memory_Usage
evolution-addre,0.000000,0.500000
kworker/2:0,0.000000,0.000000
udisksd,0.000000,0.100000
master,0.000000,0.000000
gsd-mouse,0.000000,0.000000
gvfsd-network,0.000000,0.100000
gsd-housekeepin,0.000000,0.100000
kworker/u256:1,0.000000,0.000000
lsmd,0.000000,0.000000
gnome-shell,6.100000,7.300000
gsd-print-notif,0.000000,0.200000
containerd-shim,0.000000,0.200000
mpt_poll_0,0.000000,0.000000
xfs-buf/dm-0,0.000000,0.000000
systemd-logind,0.000000,0.000000
kworker/3:0,0.000000,0.000000
kthreadd,0.000000,0.000000
lru-add-drain,0.000000,0.000000
ibus-dconf,0.000000,0.000000
NetworkManager,0.100000,0.200000
sshd,0.000000,0.100000
gsd-xsettings,0.000000,0.400000
bash,0.000000,0.000000
sleep,0.000000,0.000000
auditd,0.000000,0.000000
gvfs-goa-volume,0.000000,0.000000
bioset,0.000000,0.000000
scsi_eh_0,0.000000,0.000000
kworker/3:2,0.000000,0.000000
mysql8.0,0.870000,0.000000
watchdog/3,0.000000,0.000000
ttm_swap,0.000000,0.000000
xfs-conv/dm-0,0.000000,0.000000
kworker/0:1H,0.000000,0.000000
goa-identity-se,0.000000,0.200000
mpt/0,0.000000,0.000000
rpcbind,0.000000,0.000000
mission-control,0.000000,0.200000
libvirtd,0.000000,0.500000
gsd-smartcard,0.000000,0.100000
sudo,0.000000,0.100000
ibus-engine-sim,0.000000,0.000000
gnome-terminal-,0.200000,0.900000
watchdog/1,0.000000,0.000000
systemd-journal,0.000000,0.200000
systemd-udevd,0.000000,0.100000
alsactl,0.000000,0.000000
gsd-disk-utilit,0.000000,0.000000
